timestamp,open,high,low,close,volume
20251112 00:00,275.0,275.7300109863281,271.70001220703125,273.4700012207031,48398000
20251113 00:00,274.1099853515625,276.70001220703125,272.0899963378906,272.95001220703125,49602800
20251114 00:00,271.04998779296875,275.9599914550781,269.6000061035156,272.4100036621094,47431300
20251117 00:00,268.82000732421875,270.489990234375,265.7300109863281,267.4599914550781,45018300
20251118 00:00,269.989990234375,270.7099914550781,265.32000732421875,267.44000244140625,45677300
20251119 00:00,265.5299987792969,272.2099914550781,265.5,268.55999755859375,40424500
20251120 00:00,270.8299865722656,275.42999267578125,265.9200134277344,266.25,45823600
20251121 00:00,265.95001220703125,273.3299865722656,265.6700134277344,271.489990234375,59030800
20251124 00:00,270.8999938964844,277.0,270.8999938964844,275.9200134277344,65585800
20251125 00:00,275.2699890136719,280.3800048828125,275.25,276.9700012207031,46914200
20251126 00:00,276.9599914550781,279.5299987792969,276.6300048828125,277.54998779296875,33431400
20251128 00:00,277.260009765625,279.0,275.989990234375,278.8500061035156,20135600
20251201 00:00,278.010009765625,283.4200134277344,276.1400146484375,283.1000061035156,46587700
20251202 00:00,283.0,287.3999938964844,282.6300048828125,286.19000244140625,53669500
20251203 00:00,286.20001220703125,288.6199951171875,283.29998779296875,284.1499938964844,43538700
20251204 00:00,284.1000061035156,284.7300109863281,278.5899963378906,280.70001220703125,43989100
20251205 00:00,280.5400085449219,281.1400146484375,278.04998779296875,278.7799987792969,47265800
20251208 00:00,278.1300048828125,279.6700134277344,276.1499938964844,277.8900146484375,38211800
20251209 00:00,278.1600036621094,280.0299987792969,276.9200134277344,277.17999267578125,32193300
20251210 00:00,277.75,279.75,276.44000244140625,278.7799987792969,33038300
20251211 00:00,279.1000061035156,279.5899963378906,273.80999755859375,278.0299987792969,33207600
